abbr;time;tre200h0;tre200hn;tre200hx;rre150h0;sre000h0;fkl010h0
BAS;201701010000;-3.2;-3.3;-3.0;0.0;0;2.3
BAS;201701010100;-3.5;-3.6;-3.2;0.0;0;2.1
BAS;201701010200;-3.7;-3.8;-3.6;0.0;0;2.7
BAS;201701010300;-3.7;-3.8;-3.5;0.0;0;3.3
BAS;201701010400;-3.7;-3.8;-3.6;0.0;0;3.4
BAS;201701010500;-3.8;-4.0;-3.7;0.0;0;3.4
BAS;201701010600;-4.0;-4.2;-3.8;0.0;0;3.3
BAS;201701010700;-4.1;-4.2;-4.0;0.0;0;3.2
BAS;201701010800;-3.7;-4.0;-3.4;0.0;43;3.0
BAS;201701010900;-2.7;-3.2;-2.0;0.0;60;2.6
BAS;201701011000;-1.3;-1.7;-0.8;0.0;60;3.2
BAS;201701011100;0.1;-0.5;0.7;0.0;60;2.7
BAS;201701011200;1.1;0.7;1.5;0.0;60;1.9
BAS;201701011300;1.9;1.5;2.2;0.0;60;1.8
BAS;201701011400;2.1;2.0;2.2;0.0;50;1.6
BAS;201701011500;1.8;1.1;2.2;0.0;0;0.7
BAS;201701011600;0.0;-0.6;0.8;0.0;0;1.1
BAS;201701011700;-0.9;-1.0;-0.7;0.0;0;1.2
BAS;201701011800;-1.6;-2.0;-1.4;0.0;0;1.1
BAS;201701011900;-2.2;-2.3;-2.0;0.0;0;1.2
BAS;201701012000;-2.8;-3.5;-2.3;0.0;0;1.0
BAS;201701012100;-3.5;-3.9;-2.8;0.0;0;0.7
BAS;201701012200;-3.7;-4.5;-3.4;0.0;0;0.7
BAS;201701012300;-3.4;-3.6;-3.2;0.0;0;1.2
BAS;201701020000;-3.6;-3.7;-3.5;0.0;0;1.4
BAS;201701020100;-3.7;-3.8;-3.5;0.0;0;1.5
BAS;201701020200;-3.7;-3.8;-3.5;0.0;0;1.8
BAS;201701020300;-3.5;-3.6;-3.2;0.0;0;1.2
BAS;201701020400;-3.9;-4.0;-3.8;0.0;0;1.6
BAS;201701020500;-3.4;-3.5;-3.2;0.0;0;1.5
BAS;201701020600;-3.0;-3.3;-2.8;0.0;0;0.7
BAS;201701020700;-2.6;-2.9;-2.4;0.0;0;0.8
BAS;201701020800;-2.2;-2.4;-2.0;0.0;0;0.9
BAS;201701020900;-1.3;-1.7;-1.0;0.0;0;1.2
BAS;201701021000;-0.8;-0.9;-0.6;0.0;0;1.3
BAS;201701021100;-0.2;-0.5;0.3;0.0;0;0.6
BAS;201701021200;0.2;0.1;0.3;0.0;0;1.2
BAS;201701021300;0.9;0.6;1.1;0.0;0;1.1
BAS;201701021400;1.2;1.1;1.4;0.0;0;1.0
BAS;201701021500;1.3;1.1;1.5;0.0;0;1.0
BAS;201701021600;0.8;0.1;1.2;0.6;0;2.0
BAS;201701021700;0.1;-0.1;0.2;0.8;0;0.9
BAS;201701021800;0.1;-0.1;0.2;0.2;0;1.4
BAS;201701021900;0.0;-0.2;0.2;0.2;0;0.7
BAS;201701022000;-0.1;-0.2;0.1;0.0;0;0.9
BAS;201701022100;-0.3;-0.6;-0.1;0.0;0;1.0
BAS;201701022200;-0.4;-0.7;-0.1;0.0;0;1.1
BAS;201701022300;-0.7;-0.9;-0.4;0.0;0;0.6
BAS;201701030000;-1.0;-1.3;-0.9;0.0;0;0.7
BAS;201701030100;-1.2;-1.3;-1.1;0.0;0;0.5
BAS;201701030200;-1.7;-2.0;-1.2;0.0;0;0.8
BAS;201701030300;-1.7;-1.9;-1.6;0.0;0;0.7
BAS;201701030400;-1.6;-1.7;-1.5;0.0;0;0.8
BAS;201701030500;-1.8;-1.8;-1.7;0.0;0;0.7
BAS;201701030600;-1.7;-1.8;-1.6;0.0;0;0.7
BAS;201701030700;-1.7;-1.9;-1.5;0.0;0;0.6
BAS;201701030800;-1.7;-1.8;-1.6;0.0;0;0.9
BAS;201701030900;-1.6;-1.8;-1.3;0.0;0;0.7
BAS;201701031000;-1.4;-1.5;-1.3;0.0;0;0.6
BAS;201701031100;-1.2;-1.4;-1.0;0.0;12;0.9
BAS;201701031200;-0.9;-1.4;-0.5;0.0;51;0.4
BAS;201701031300;0.0;-0.4;0.3;0.0;42;0.8
BAS;201701031400;-0.6;-0.9;-0.3;0.0;5;0.9
BAS;201701031500;-1.0;-1.4;-0.7;0.0;0;1.0
BAS;201701031600;-2.1;-2.6;-1.6;0.0;0;1.3
BAS;201701031700;-2.4;-2.9;-2.0;0.0;0;1.1
BAS;201701031800;-1.9;-2.0;-1.7;0.0;0;1.0
BAS;201701031900;-2.1;-2.2;-1.8;0.0;0;0.9
BAS;201701032000;-2.2;-2.3;-2.0;0.0;0;0.8
BAS;201701032100;-2.6;-3.1;-2.3;0.0;0;0.8
BAS;201701032200;-3.7;-4.0;-3.2;0.0;0;1.0
BAS;201701032300;-4.6;-4.8;-4.0;0.0;0;0.9
BAS;201701040000;-4.3;-4.7;-3.8;0.0;0;2.0
BAS;201701040100;-4.6;-4.9;-4.1;0.0;0;0.9
BAS;201701040200;-4.4;-4.8;-4.2;0.0;0;0.5
BAS;201701040300;-3.9;-4.1;-3.6;0.0;0;0.7
BAS;201701040400;-2.9;-3.5;-1.9;0.0;0;1.5
BAS;201701040500;-1.1;-1.7;-0.3;0.0;0;1.9
BAS;201701040600;-0.8;-1.1;-0.1;0.0;0;0.9
BAS;201701040700;0.6;0.2;0.7;0.0;0;3.5
BAS;201701040800;1.1;0.7;1.5;0.0;0;1.6
BAS;201701040900;0.3;0.2;0.4;0.0;0;0.8
BAS;201701041000;-0.1;-0.2;0.0;0.0;0;2.3
BAS;201701041100;0.3;-0.2;1.0;0.0;0;3.3
BAS;201701041200;1.4;1.0;1.7;0.0;0;2.5
BAS;201701041300;1.7;1.6;1.8;0.0;0;3.0
BAS;201701041400;1.9;1.8;2.0;0.0;0;3.3
BAS;201701041500;1.9;1.7;2.0;0.0;0;1.6
BAS;201701041600;1.5;1.4;1.8;0.3;0;2.6
