Datum;Zeit;Klybeckstrasse (Kirche);Klybeckstrasse 113;Feldbergstrasse 1;Feldbergstrasse 4;Rosentalstrasse 23;Rosentalstrasse 28;Rebgasse 11;Rebgasse 28;Gerbergasse;Güterstrasse 180;Güterstrasse 183;Wolfschlucht-Promenade;Allschwilerstrasse 77;Allschwilerstrasse 86;Mülhauserstrasse 131;Mülhauserstrasse 122
01.01.2017;00:00 - 01:00;72;142;423;375;56;82;83;142;1061;37;56;23;14;15;115;73
01.01.2017;01:00 - 02:00;121;137;103;149;84;96;164;128;629;32;54;25;21;31;31;36
01.01.2017;02:00 - 03:00;95;64;98;65;24;65;72;69;294;79;49;15;28;5;29;38
01.01.2017;03:00 - 04:00;56;78;55;45;7;20;59;55;237;26;35;6;18;7;16;15
01.01.2017;04:00 - 05:00;57;44;30;34;16;20;67;33;158;20;21;3;7;8;7;30
01.01.2017;05:00 - 06:00;37;56;29;29;19;23;37;22;61;16;12;4;8;9;7;10
01.01.2017;06:00 - 07:00;23;49;19;10;26;8;20;16;46;19;7;2;4;3;6;9
01.01.2017;07:00 - 08:00;22;14;13;7;8;6;14;6;26;11;13;1;4;5;7;2
01.01.2017;08:00 - 09:00;9;9;13;8;29;15;1;9;30;27;22;1;3;26;13;8
01.01.2017;09:00 - 10:00;14;21;8;13;35;16;3;9;39;15;23;13;6;12;11;13
01.01.2017;10:00 - 11:00;26;21;17;16;28;18;26;27;112;34;58;15;13;9;15;33
01.01.2017;11:00 - 12:00;38;36;23;41;46;29;48;12;169;50;68;27;21;28;26;39
01.01.2017;12:00 - 13:00;66;72;40;43;720;685;37;22;344;51;84;41;21;43;36;59
01.01.2017;13:00 - 14:00;84;46;68;58;550;412;78;39;376;85;94;42;40;27;57;68
01.01.2017;14:00 - 15:00;74;70;82;57;106;58;59;36;569;81;116;80;17;32;45;69
01.01.2017;15:00 - 16:00;72;76;101;82;103;55;61;67;754;83;125;82;36;30;66;76
01.01.2017;16:00 - 17:00;65;96;94;69;85;61;77;72;890;111;142;96;39;42;78;90
01.01.2017;17:00 - 18:00;76;83;61;55;110;60;87;36;589;97;102;42;38;36;59;66
01.01.2017;18:00 - 19:00;53;47;50;53;72;74;85;21;321;61;76;16;26;18;57;58
01.01.2017;19:00 - 20:00;77;49;37;39;47;38;51;39;292;86;78;10;23;10;17;55
01.01.2017;20:00 - 21:00;46;39;19;11;38;49;33;19;253;42;38;8;14;20;35;38
01.01.2017;21:00 - 22:00;26;35;17;23;43;19;25;18;135;27;43;6;9;16;23;57
01.01.2017;22:00 - 23:00;29;34;20;15;23;18;3;13;98;32;29;8;8;7;20;39
01.01.2017;23:00 - 00:00;19;71;6;16;12;9;3;3;74;17;7;2;6;7;10;16
02.01.2017;00:00 - 01:00;6;29;7;11;5;11;0;2;33;9;9;2;6;1;3;6
