abbr;time;hto000d0
BAS;20170101;0
BAS;20170102;0
BAS;20170103;2
BAS;20170104;0
BAS;20170105;1
BAS;20170106;2
BAS;20170107;2
BAS;20170108;2
BAS;20170109;2
BAS;20170110;3
BAS;20170111;8
BAS;20170112;1
BAS;20170113;0
BAS;20170114;0
BAS;20170115;4
BAS;20170116;3
BAS;20170117;4
BAS;20170118;3
BAS;20170119;2
BAS;20170120;2
BAS;20170121;1
BAS;20170122;1
BAS;20170123;1
BAS;20170124;1
BAS;20170125;1
BAS;20170126;1
BAS;20170127;1
BAS;20170128;1
BAS;20170129;1
BAS;20170130;0
BAS;20170131;0
BAS;20170201;0
BAS;20170202;0
BAS;20170203;0
BAS;20170204;0
BAS;20170205;0
BAS;20170206;0
BAS;20170207;0
BAS;20170208;0
BAS;20170209;0
BAS;20170210;0
BAS;20170211;0
BAS;20170212;0
BAS;20170213;0
BAS;20170214;0
BAS;20170215;0
BAS;20170216;0
BAS;20170217;0
BAS;20170218;0
BAS;20170219;0
BAS;20170220;0
BAS;20170221;0
BAS;20170222;0
BAS;20170223;0
BAS;20170224;0
BAS;20170225;0
BAS;20170226;0
BAS;20170227;0
BAS;20170228;0
BAS;20170301;0
BAS;20170302;0
BAS;20170303;0
BAS;20170304;0
BAS;20170305;0
BAS;20170306;0
BAS;20170307;0
BAS;20170308;0
BAS;20170309;0
BAS;20170310;0
BAS;20170311;0
BAS;20170312;0
BAS;20170313;0
BAS;20170314;0
BAS;20170315;0
BAS;20170316;0
BAS;20170317;0
BAS;20170318;0
BAS;20170319;0
BAS;20170320;0
BAS;20170321;0
BAS;20170322;0
BAS;20170323;0
BAS;20170324;0
BAS;20170325;0
BAS;20170326;0
BAS;20170327;0
BAS;20170328;0
BAS;20170329;0
BAS;20170330;0
BAS;20170331;0
BAS;20170401;0
BAS;20170402;0
BAS;20170403;0
BAS;20170404;0
BAS;20170405;0
BAS;20170406;0
BAS;20170407;0
BAS;20170408;0
BAS;20170409;0
BAS;20170410;0
BAS;20170411;0
BAS;20170412;0
BAS;20170413;0
BAS;20170414;0
BAS;20170415;0
BAS;20170416;0
BAS;20170417;0
BAS;20170418;0
BAS;20170419;0
BAS;20170420;0
BAS;20170421;0
BAS;20170422;0
BAS;20170423;0
BAS;20170424;0
BAS;20170425;0
BAS;20170426;2
BAS;20170427;0
BAS;20170428;0
BAS;20170429;0
BAS;20170430;0
BAS;20170501;0
BAS;20170502;0
BAS;20170503;0
BAS;20170504;0
BAS;20170505;0
BAS;20170506;0
BAS;20170507;0
BAS;20170508;0
BAS;20170509;0
BAS;20170510;0
BAS;20170511;0
BAS;20170512;0
BAS;20170513;0
BAS;20170514;0
BAS;20170515;0
BAS;20170516;0
BAS;20170517;0
BAS;20170518;0
BAS;20170519;0
BAS;20170520;0
BAS;20170521;0
BAS;20170522;0
BAS;20170523;0
BAS;20170524;0
BAS;20170525;0
BAS;20170526;0
BAS;20170527;0
BAS;20170528;0
BAS;20170529;0
BAS;20170530;0
BAS;20170531;0
BAS;20170601;0
BAS;20170602;0
BAS;20170603;0
BAS;20170604;0
BAS;20170605;0
BAS;20170606;0
BAS;20170607;0
BAS;20170608;0
BAS;20170609;0
BAS;20170610;0
BAS;20170611;0
BAS;20170612;0
BAS;20170613;0
BAS;20170614;0
BAS;20170615;0
BAS;20170616;0
BAS;20170617;0
BAS;20170618;0
BAS;20170619;0
BAS;20170620;0
BAS;20170621;0
BAS;20170622;0
BAS;20170623;0
BAS;20170624;0
BAS;20170625;0
BAS;20170626;0
BAS;20170627;0
BAS;20170628;0
BAS;20170629;0
BAS;20170630;0
BAS;20170701;0
BAS;20170702;0
BAS;20170703;0
BAS;20170704;0
BAS;20170705;0
BAS;20170706;0
BAS;20170707;0
BAS;20170708;0
BAS;20170709;0
BAS;20170710;0
BAS;20170711;0
BAS;20170712;0
BAS;20170713;0
BAS;20170714;0
BAS;20170715;0
BAS;20170716;0
BAS;20170717;0
BAS;20170718;0
BAS;20170719;0
BAS;20170720;0
BAS;20170721;0
BAS;20170722;0
